"borough","closuretype","editdate","featuretype","propid","propname","propnum","sitename","status","point","approx_date_closed","approx_date_reopened"
"M","Temporary Fencing","2020-06-22T16:25:59.000","Exercise Equipment","M111","James Weldon Johnson Playground","M111","James Weldon Johnson Playground","Reopened","POINT (-73.94185672170153 40.797178356079186)","2020-04-13T13:17:18.000","2020-06-21T00:00:00.000"
"X","Partially Locked","2020-06-22T09:54:58.000","Exercise Equipment","X194","Captain Rivera Playground","X194","Captain Rivera Playground","Reopened","POINT (-73.90693259459749 40.817934267183155)","2020-04-10T10:08:35.000","2020-06-21T00:00:00.000"
"Q","Completely Locked","2020-06-22T17:15:15.000","Exercise Equipment","Q099-01","Flushing Meadows Corona Park","Q099","World's Fair Playground","Reopened","POINT (-73.84590168935051 40.737521484536124)","2020-04-11T18:17:56.000",
"Q","Temporary Fencing","2020-06-21T19:52:25.000","Exercise Equipment","Q106","Daniel M. O'Connell Playground","Q106","Daniel M. O'Connell Playground","Reopened","POINT (-73.75809728732561 40.699867812350114)","2020-04-11T19:01:26.000","2020-06-21T14:30:00.000"
"X","Blocked with Barricade","2020-06-22T10:28:38.000","Exercise Equipment","X111","Cedar Playground","X111","Cedar Playground","Reopened","POINT (-73.91738859057475 40.855122235732814)","2020-04-16T11:49:39.000","2020-06-21T00:00:00.000"
"R",,"2020-04-09T15:20:54.000","Exercise Equipment","R005-ZN04","Clove Lakes Park","R005","Clove Lakes Park Zone 4","Active","POINT (-74.12071163775694 40.624696367999555)",,
"Q","Completely Locked","2020-06-21T19:51:32.000","Exercise Equipment","Q005-01","Baisley Pond Park","Q005","Sutphin Playground","Reopened","POINT (-73.789076327717 40.674753325111226)","2020-04-11T18:54:38.000","2020-06-21T14:30:00.000"
"M",,"2020-04-15T16:31:07.000","Exercise Equipment","M099","J. Hood Wright Park","M099","J. Hood Wright Park","Active","POINT (-73.9409453399472 40.84635575138851)",,
"M","Blocked with Barricade","2020-06-22T17:19:04.000","Exercise Equipment","M289","East River Esplanade","M289","East River Esplanade","Reopened","POINT (-73.96968476295301 40.74586882752494)","2020-04-10T11:54:49.000","2020-06-21T00:00:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B295","Oxport Playground","B295","Oxport Playground","Active","POINT (-73.97624385732473 40.69760448528042)",,
"X","Completely Locked","2020-06-22T11:19:22.000","Exercise Equipment","X253","Ambrosini Field","X253","Ambrosini Field","Reopened","POINT (-73.78339296334069 40.84450088586157)","2020-04-10T14:15:47.000","2020-06-21T00:00:00.000"
"Q","Temporary Fencing","2020-06-19T13:59:41.000","Exercise Equipment","Q021-03","Cunningham Park","Q021","210 St Playground","Reopened","POINT (-73.76533876072492 40.73925387400778)","2020-04-11T19:21:57.000","2020-06-19T13:59:39.000"
"Q",,"2020-04-09T15:18:23.000","Exercise Equipment","Q162J01","Beach 9 Playground","Q162J01","Beach 9 Playground","Active","POINT (-73.7450264620596 40.59529502438549)",,
"B",,"2020-04-10T16:00:56.000","Exercise Equipment","B068","Parade Ground","B068","Parade Ground","Active","POINT (-73.96835365164006 40.65086462836489)",,
"B","Completely Locked","2020-06-22T13:37:56.000","Exercise Equipment","B018-ZN03","Canarsie Park","B018","Canarsie Park Zone 3","Reopened","POINT (-73.89672470658329 40.62566473995162)","2020-04-10T16:40:03.000","2020-06-22T00:00:00.000"
"M","Completely Locked","2020-06-22T16:19:21.000","Exercise Equipment","M184","Samuel N. Bennerson 2nd Playground","M184","Samuel N. Bennerson 2nd Playground","Reopened","POINT (-73.98695384493311 40.77382394258037)","2020-04-09T15:22:59.000","2020-06-21T00:00:00.000"
"B","Completely Locked","2020-06-22T14:31:33.000","Exercise Equipment","B429","Hope Ballfield","B429","Hope Ballfield","Reopened","POINT (-73.91713545206649 40.697484046774534)","2020-05-21T11:52:23.000","2020-06-22T00:00:00.000"
"X","Completely Locked","2020-06-22T11:04:19.000","Exercise Equipment","X160","Caserta Playground","X160","Caserta Playground","Reopened","POINT (-73.85402945321134 40.837337871100985)","2020-04-10T14:23:28.000","2020-06-21T00:00:00.000"
"B","Completely Locked","2020-06-22T13:39:54.000","Exercise Equipment","B352","Curtis Playground","B352","Curtis Playground","Reopened","POINT (-73.91741522757015 40.64095208183649)","2020-04-10T16:46:57.000","2020-06-22T00:00:00.000"
"X","Completely Locked","2020-06-22T09:53:27.000","Exercise Equipment","X146","Flynn Playground","X146","Flynn Playground","Reopened","POINT (-73.91193278875865 40.82104461502766)","2020-04-10T10:08:58.000","2020-06-21T00:00:00.000"
"X","Completely Locked","2020-06-22T10:55:22.000","Exercise Equipment","X123","Noble Playground","X123","Noble Playground","Reopened","POINT (-73.87225180093814 40.83730964780272)","2020-04-10T14:22:43.000","2020-06-21T00:00:00.000"
"Q","Temporary Fencing","2020-06-23T11:17:19.000","Exercise Equipment","Q099-20","Flushing Meadows Corona Park","Q099","Albert H. Mauro Playground","Reopened","POINT (-73.82722743008128 40.72336395237862)","2020-04-11T19:24:08.000","2020-06-23T10:55:44.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B151","Dome Playground","B151","Dome Playground","Active","POINT (-73.98019420844597 40.63820669295218)",,
"R","Completely Locked","2020-06-23T09:54:14.000","Exercise Equipment","R090","Lieutenant John H. Martinson Playground","R090","Lieutenant John H. Martinson Playground","Reopened","POINT (-74.16264451633752 40.53686293402165)","2020-04-09T15:20:54.000","2020-06-22T00:00:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B192","Russell Pedersen Playground","B192","Russell Pedersen Playground","Active","POINT (-74.03618079563667 40.62638149625277)",,
"X","Completely Locked","2020-06-22T09:52:44.000","Exercise Equipment","X353","Yolanda García Park","X353","Yolanda Garcia Park","Reopened","POINT (-73.91380830169413 40.82310392036892)","2020-04-10T10:26:40.000","2020-06-21T00:00:00.000"
"M","Completely Locked","2020-06-19T10:00:46.000","Exercise Equipment","M144-ZN05","John V. Lindsay East River Park","M144","East River Park Zone 5","Reopened","POINT (-73.97359980806098 40.721574059443334)","2020-04-10T11:58:13.000","2020-06-19T00:00:00.000"
"M",,"2020-04-09T15:22:58.000","Exercise Equipment","M042-ZN02","Inwood Hill Park","M042","Inwood Hill Park Zone 2","Active","POINT (-73.92092619021308 40.87354384564561)",,
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B051","Kelly Park Playground","B051","Kelly Park Playground","Active","POINT (-73.95764201145823 40.60417856226806)",,
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B275","Grady Playground","B275","Grady Playground","Active","POINT (-73.96471236516003 40.58305310479647)",,
"Q","Temporary Fencing","2020-06-21T19:51:32.000","Exercise Equipment","Q413","Rochdale Park","Q413","Rochdale Park","Reopened","POINT (-73.77442324137397 40.67467071888908)","2020-04-11T19:32:19.000","2020-06-21T14:30:00.000"
"Q","Completely Locked","2020-06-21T20:00:33.000","Exercise Equipment","Q211","Maple Playground","Q211","Maple Playground","Reopened","POINT (-73.82609147065686 40.75587494967769)","2020-04-11T19:28:15.000","2020-06-21T12:30:00.000"
"X","Temporary Fencing","2020-06-22T11:19:43.000","Exercise Equipment","X039-ZN01","Pelham Bay Park","X039","Aileen Ryan Rec. Complex","Reopened","POINT (-73.82354955599097 40.84838668665093)","2020-04-10T14:15:17.000","2020-06-21T00:00:00.000"
"B","Completely Locked","2020-06-25T13:57:53.000","Exercise Equipment","B263","Sumner Playground","B263","Sumner Playground","Reopened","POINT (-73.94275920794006 40.697275730525554)","2020-04-10T12:01:47.000","2020-06-25T00:00:00.000"
"Q","Temporary Fencing","2020-06-21T11:41:39.000","Exercise Equipment","Q008-01","Brookville Park","Q008","Brookville Playground","Reopened","POINT (-73.74144047160583 40.66321248314898)","2020-04-11T19:33:20.000","2020-06-21T11:45:00.000"
"Q","Completely Locked","2020-06-21T17:11:23.000","Exercise Equipment","Q382","Cardozo Playground","Q382","Cardozo Playground","Reopened","POINT (-73.78656811018509 40.59323900596113)","2020-04-11T19:36:25.000","2020-06-21T14:30:00.000"
"Q",,"2020-04-09T15:18:23.000","Exercise Equipment","Q162J","Beach 17 Playground","Q162J","Beach 17 Playground","Active","POINT (-73.74880446851114 40.59448974090655)",,
"B",,"2020-06-22T13:36:30.000","Exercise Equipment","B018-01","Canarsie Park","B018","Dinapoli Plgd","UnderConstruction","POINT (-73.89299093014267 40.63082565366607)",,
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B106B","Lafayette Playground","B106B","Lafayette Playground","Active","POINT (-73.98528984420022 40.59450882940556)",,
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B073-ZN06","Prospect Park","B073","Prospect Park Southwest Lower","Active","POINT (-73.97272036709187 40.65483300002621)",,
"X","Temporary Fencing","2020-06-22T09:35:51.000","Exercise Equipment","X045-01","St. Mary's Park","X045","St Mary's Playground East","Reopened","POINT (-73.9104894866682 40.8102807321832)","2020-04-10T10:05:18.000","2020-06-21T00:00:00.000"
"M","Completely Locked","2020-06-29T11:01:45.000","Exercise Equipment","M029-01","Fort Tryon Park","M029","Jacob Javits Plgd","Reopened","POINT (-73.9344719040704 40.858906972535145)","2020-04-10T11:39:34.000","2020-06-21T00:00:00.000"
"R",,"2020-04-09T15:20:54.000","Exercise Equipment","R125","Lopez Playground","R125","Lopez Playground","Active","POINT (-74.08505419557865 40.61148666852642)",,
"B","Completely Locked","2020-06-22T12:30:24.000","Exercise Equipment","B246","Jerome Playground","B246","Jerome Playground","Reopened","POINT (-73.87959078888356 40.65892568763114)","2020-04-10T16:59:19.000","2020-06-20T00:00:00.000"
"X","Partially Locked","2020-06-22T11:01:25.000","Exercise Equipment","X088-ZN02","Pugsley Creek Park","X088","Pugsley Creek Park Zone 2","Reopened","POINT (-73.85224766433613 40.81251068242118)","2020-04-10T14:21:54.000","2020-06-21T00:00:00.000"
"Q","Temporary Fencing","2020-06-19T14:02:20.000","Exercise Equipment","Q129","Phil ""Scooter"" Rizzuto Park","Q129","Phil ""Scooter"" Rizzuto Park","Reopened","POINT (-73.82158665651203 40.69479295148474)","2020-04-11T18:56:49.000","2020-06-19T14:01:52.000"
"B","Completely Locked","2020-06-23T14:55:47.000","Exercise Equipment","B118A","St. Mary's Park","B118A","St. Mary's Park","Reopened","POINT (-73.99721990515255 40.6764312262666)","2020-04-10T12:35:58.000","2020-06-22T00:00:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B285","Harry Maze Playground","B285","Harry Maze Playground","Active","POINT (-73.92317587764559 40.643417838681266)",,
"Q","Completely Locked","2020-06-22T14:25:20.000","Exercise Equipment","Q450","Corona Golf Playground","Q450","Corona Golf Playground","Reopened","POINT (-73.85461130347079 40.74758238148043)","2020-04-11T18:07:49.000","2020-06-22T14:25:18.000"
"Q",,"2020-06-21T19:54:13.000","Exercise Equipment","Q004-ZN01","Astoria Park","Q004","Astoria Park Zone 1","Reopened","POINT (-73.9250723759056 40.77673004027608)","2020-04-13T15:34:45.000","2020-06-21T13:00:00.000"
"Q","Completely Locked","2020-06-22T17:15:49.000","Exercise Equipment","Q031","Lawrence Virgilio Playground","Q031","Lawrence Virgilio Playground","Reopened","POINT (-73.91074722015503 40.74747006904619)","2020-04-11T17:45:14.000",
"B","Completely Locked","2020-06-22T16:17:04.000","Exercise Equipment","B007","Bensonhurst Park","B007","Bensonhurst Park","Reopened","POINT (-74.00130226448023 40.596512856449024)","2020-04-10T11:54:36.000","2020-06-22T00:00:00.000"
"X","Completely Locked","2020-06-22T11:00:01.000","Exercise Equipment","X204","Story Playground","X204","Story Playground","Reopened","POINT (-73.86284389189633 40.82291343539928)","2020-04-20T10:59:13.000","2020-06-21T00:00:00.000"
"M","Completely Locked","2020-06-22T17:17:37.000","Exercise Equipment","M263","Bellevue South Park","M263","Bellevue South Park","Reopened","POINT (-73.97805754866744 40.74003255882608)","2020-04-10T11:52:24.000","2020-06-21T00:00:00.000"
"Q","Completely Locked","2020-06-21T19:56:32.000","Exercise Equipment","Q474","Simeone Park","Q474","Simeone Park","Reopened","POINT (-73.85992361032712 40.74097953138106)","2020-04-11T18:09:46.000","2020-06-21T13:00:00.000"
"X",,"2020-04-09T15:24:38.000","Exercise Equipment","X002-ZN05A","Bronx Park","X002","Bronx River Parkway East (South Half)","Active","POINT (-73.86785687192702 40.8813584342983)",,
"B",,"2020-06-22T16:39:12.000","Exercise Equipment","B221","Steuben Playground","B221","Steuben Playground","Reopened","POINT (-73.96345807759882 40.697444918704655)",,"2020-06-22T00:00:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B060-01","McKinley Park","B060","McKinley Park Playground","Active","POINT (-74.01686079218794 40.6263889327547)",,
"Q","Temporary Fencing","2020-06-21T19:12:37.000","Exercise Equipment","Q360M","Frontera Park","Q360M","Frontera Park","Reopened","POINT (-73.8953707957513 40.72467606207501)","2020-04-11T17:52:31.000","2020-06-21T19:12:34.000"
"M","Completely Locked","2020-06-19T10:01:46.000","Exercise Equipment","M088","Tompkins Square Park","M088","Tompkins Square Park","Reopened","POINT (-73.98171294258619 40.72645206531424)","2020-04-10T11:57:46.000","2020-06-19T00:00:00.000"
"B","Completely Locked","2020-06-22T14:31:08.000","Exercise Equipment","B139","Heckscher Playground","B139","Heckscher Playground","Reopened","POINT (-73.91826823544291 40.695114906733636)","2020-04-10T12:28:31.000","2020-06-22T00:00:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B296","Luna Playground","B296","Luna Playground","Active","POINT (-73.9784012305104 40.57609488172913)",,
"X","Completely Locked","2020-06-22T10:36:29.000","Exercise Equipment","X020","Fort Independence Playground","X020","Fort Independence Playground","Reopened","POINT (-73.89490717361262 40.88189124126803)","2020-04-17T13:49:58.000","2020-06-21T00:00:00.000"
"X","Completely Locked","2020-06-22T10:22:27.000","Exercise Equipment","X108","Belmont Playground","X108","Belmont Playground","Reopened","POINT (-73.8876937082305 40.8502878434943)","2020-04-10T10:28:53.000","2020-06-21T00:00:00.000"
"Q","Temporary Fencing","2020-06-21T15:20:07.000","Exercise Equipment","Q108","Laurelton Playground","Q108","Laurelton Playground","Reopened","POINT (-73.73653220733861 40.67000054576684)","2020-04-11T19:34:27.000","2020-06-21T15:20:04.000"
"M","Completely Locked","2020-06-22T16:28:09.000","Exercise Equipment","M058-01","Marcus Garvey Park","M058","Mt. Morris East","Reopened","POINT (-73.94309751628622 40.80332603307183)","2020-04-13T13:11:34.000","2020-06-21T00:00:00.000"
"Q","Completely Locked","2020-06-22T17:18:19.000","Exercise Equipment","Q314","Fresh Meadows Playground","Q314","Fresh Meadows Playground","Reopened","POINT (-73.79618385636533 40.73411680762905)","2020-04-11T19:22:56.000",
"M","Completely Locked","2020-06-22T15:34:12.000","Exercise Equipment","M071-04","Riverside Park","M071","Neufeld Playground","Reopened","POINT (-73.98473175135972 40.78351537992661)","2020-04-15T16:34:05.000","2020-06-21T00:00:00.000"
"Q","Completely Locked","2020-06-22T14:23:02.000","Exercise Equipment","Q098","Frank D. O'Connor Playground","Q098","Frank D. O'Connor Playground","Reopened","POINT (-73.88672297251823 40.74424703427505)","2020-04-11T17:51:28.000","2020-06-22T14:22:55.000"
"X","Completely Locked","2020-06-22T09:33:25.000","Exercise Equipment","X238","Saw Mill Playground","X238","Saw Mill Playground","Reopened","POINT (-73.91937329426236 40.8089131054485)","2020-04-10T10:06:45.000","2020-06-21T00:00:00.000"
"B","Partially Locked","2020-06-22T14:17:39.000","Exercise Equipment","B258","Brevoort Playground","B258","Brevoort Playground","Reopened","POINT (-73.92276101480839 40.68047022118153)","2020-04-10T12:12:20.000","2020-06-22T00:00:00.000"
"R","Completely Locked","2020-06-22T14:41:30.000","Exercise Equipment","R068","The Big Park","R068","The Big Park","Reopened","POINT (-74.16451275113033 40.63080957571552)","2020-04-09T15:20:54.000","2020-06-22T00:00:00.000"
"B","Completely Locked","2020-06-23T12:56:11.000","Exercise Equipment","B150","Kolbert Playground","B150","Kolbert Playground","Reopened","POINT (-73.95800759867898 40.62007558872256)","2020-04-10T15:58:01.000","2020-06-22T00:00:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B274","Bayview Playground","B274","Bayview Playground","Active","POINT (-73.88690984970518 40.634912408316595)",,
"X","Temporary Fencing","2020-06-22T10:29:48.000","Exercise Equipment","X001-01","Aqueduct Walk","X001","Aqueduct Lands Plgd","Reopened","POINT (-73.90858175040887 40.857696664817524)","2020-04-13T12:05:26.000","2020-06-21T00:00:00.000"
"Q","Temporary Fencing","2020-06-21T20:02:29.000","Exercise Equipment","Q381","Francis Lewis Playground","Q381","Francis Lewis Playground","Reopened","POINT (-73.78403163148911 40.76043688193279)","2020-04-11T19:29:59.000","2020-06-21T12:30:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B057-ZN01","Marine Park","B057","Marine Park Zone 1","Active","POINT (-73.93641201272325 40.60825051984852)",,
"B","Completely Locked","2020-06-23T12:55:05.000","Exercise Equipment","B073-20","Prospect Park","B073","Harmony Playground","Reopened","POINT (-73.9769634460577 40.66346528884452)","2020-04-10T15:54:00.000","2020-06-22T00:00:00.000"
"X","Completely Locked","2020-06-22T10:34:28.000","Exercise Equipment","X038-02","Washington's Walk","X038","Fort #4 Playground","Reopened","POINT (-73.90085322643156 40.874664145208)","2020-04-09T15:52:15.000","2020-06-21T00:00:00.000"
"X",,"2020-06-22T09:59:27.000","Exercise Equipment","X307","Barretto Point Park","X307","Barretto Point Park","Reopened","POINT (-73.88836438060042 40.80500094699602)","2020-04-14T12:10:33.000","2020-06-21T00:00:00.000"
"M","Temporary Fencing","2020-06-22T16:23:27.000","Exercise Equipment","M186","Col. Young Playground","M186","Col. Young Playground","Reopened","POINT (-73.93553958259542 40.819210720183584)","2020-04-13T13:14:45.000","2020-06-21T00:00:00.000"
"X","Partially Locked","2020-06-22T11:10:13.000","Exercise Equipment","X122","Colucci Playground","X122","Colucci Playground","Reopened","POINT (-73.83458247991918 40.85277861977569)","2020-04-20T12:02:40.000","2020-06-21T00:00:00.000"
"M","Completely Locked","2020-06-19T10:01:05.000","Exercise Equipment","M033","Hamilton Fish Park","M033","Hamilton Fish Park","Reopened","POINT (-73.98076555397475 40.719702638265076)","2020-04-10T11:55:48.000","2020-06-19T00:00:00.000"
"B","Completely Locked","2020-06-22T13:58:18.000","Exercise Equipment","B337","Century Playground","B337","Century Playground","Reopened","POINT (-73.97039455950755 40.57701789715067)","2020-04-10T16:48:07.000","2020-06-22T00:00:00.000"
"Q","Temporary Fencing","2020-06-21T19:12:37.000","Exercise Equipment","Q102-02","Juniper Valley Park","Q102","Juniper North Playground Tennis","Reopened","POINT (-73.87709582234879 40.72065486948514)","2020-04-11T18:19:09.000","2020-06-21T19:12:34.000"
"B","Completely Locked","2020-06-23T14:56:00.000","Exercise Equipment","B050","Van Voorhees Playground","B050","Van Voorhees Playground","Reopened","POINT (-73.99932162436835 40.690311444246746)","2020-04-10T12:32:15.000","2020-06-22T00:00:00.000"
"Q","Completely Locked","2020-06-21T19:54:48.000","Exercise Equipment","Q014","Astoria Heights Playground","Q014","Astoria Heights Playground","Reopened","POINT (-73.91174252356157 40.760420853015354)","2020-04-11T17:27:29.000","2020-06-21T13:00:00.000"
"B","Completely Locked","2020-06-22T13:07:19.000","Exercise Equipment","B387","Hilltop Playground","B387","Hilltop Playground","Reopened","POINT (-73.91433859819634 40.675325642314036)","2020-04-10T17:03:14.000","2020-06-20T00:00:00.000"
"Q","Completely Locked","2020-06-21T19:49:34.000","Exercise Equipment","Q414","Rocket Playground","Q414","Rocket Playground","Reopened","POINT (-73.84627851240839 40.670667817884194)","2020-04-11T18:48:44.000","2020-06-21T14:30:00.000"
"X","Temporary Fencing","2020-06-22T09:37:20.000","Exercise Equipment","X045-03","St. Mary's Park","X045","St Mary's Playground West","Reopened","POINT (-73.91325758564736 40.81279619997487)","2020-04-10T10:05:52.000","2020-06-21T00:00:00.000"
"B","Temporary Fencing","2020-06-22T13:56:18.000","Exercise Equipment","B169-ZN04B","Coney Island Beach & Boardwalk","B169","Coney Island Beach Zone 4b","Reopened","POINT (-73.97612258859823 40.572829658513676)","2020-05-08T16:10:04.000","2020-06-22T00:00:00.000"
"B",,"2020-04-09T15:15:34.000","Exercise Equipment","B016","Maria Hernandez Park","B016","Maria Hernandez Park","Active","POINT (-73.92386340065151 40.70317144327168)",,
"Q",,"2020-04-09T15:18:23.000","Exercise Equipment","Q162H","Beach 30th Street Playground","Q162H","Beach 30th Street Playground","Active","POINT (-73.762489336517 40.59246065371918)",,
"Q",,"2020-04-11T13:19:59.000","Exercise Equipment","Q215","Whitey Ford Field","Q215","Whitey Ford Field","Active","POINT (-73.93483559589428 40.77764696043623)",,
"B","Completely Locked","2020-06-29T09:20:56.000","Exercise Equipment","B100","Seth Low Playground/ Bealin Square","B100","Seth Low Playground/ Bealin Square","Reopened","POINT (-73.98636238213687 40.60813843938594)","2020-04-10T15:58:34.000","2020-06-25T00:00:00.000"
"Q",,"2020-04-11T19:21:17.000","Exercise Equipment","Q021-ZN02","Cunningham Park","Q021","Cunningham Park Zone 2","Active","POINT (-73.77359003192625 40.72969374005998)",,
"M","Completely Locked","2020-06-22T16:23:44.000","Exercise Equipment","M160","Fred Samuel Playground","M160","Fred Samuel Playground","Reopened","POINT (-73.93923671753906 40.81715574647378)","2020-04-13T13:15:20.000","2020-06-21T00:00:00.000"
"M",,"2020-04-09T15:22:58.000","Exercise Equipment","M042-ZN04","Inwood Hill Park","M042","Inwood Hill Park Zone 4 (Dyckman Fields)","Active","POINT (-73.9302748808981 40.8728418152752)",,
"Q","Completely Locked","2020-06-23T10:58:08.000","Exercise Equipment","Q094","Tudor Park","Q094","Tudor Park","Reopened","POINT (-73.8521293858594 40.67262274222164)","2020-04-11T18:47:41.000","2020-06-21T12:00:00.000"
"X","Completely Locked","2020-06-22T09:55:40.000","Exercise Equipment","X216","Abigail Playground","X216","Abigail Playground","Reopened","POINT (-73.90464194387371 40.817313869252814)","2020-04-10T10:07:23.000","2020-06-21T00:00:00.000"
"X","Completely Locked","2020-06-22T11:15:49.000","Exercise Equipment","X169","Agnes Haywood Playground","X169","Agnes Haywood Playground","Reopened","POINT (-73.86181381588385 40.880295589163076)","2020-04-10T14:19:45.000","2020-06-21T00:00:00.000"
"Q","Completely Locked","2020-06-21T19:05:01.000","Exercise Equipment","Q002","Grover Cleveland Playground","Q002","Grover Cleveland Playground","Reopened","POINT (-73.91114489160017 40.710899665887816)","2020-04-11T18:21:30.000","2020-06-21T10:00:00.000"
